Module                  Size  Used by
snd_timer              53248  1 snd_pcm
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
mei_me                 57344  2
sparse_keymap          12288  1 asus_wmi
intel_uncore          258048  0
processor_thermal_wt_hint    16384  1 processor_thermal_device
snd                   151552  11 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm
platform_profile       12288  1 asus_wmi
pcspkr                 12288  0
mei                   188416  5 mei_hdcp,mei_pxp,mei_me
processor_thermal_rfim    24576  1 processor_thermal_device
wmi_bmof               12288  0
soundcore              16384  1 snd
processor_thermal_rapl    16384  1 processor_thermal_device
rc_core                73728  1 cec
cfg80211             1404928  0
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
ttm                   106496  3 drm_ttm_helper,xe,i915
processor_thermal_wt_req    12288  1 processor_thermal_device
processor_thermal_power_floor    12288  1 processor_thermal_device
rfkill                 40960  3 asus_wmi,bluetooth,cfg80211
ac                     16384  0
int3403_thermal        16384  0
drm_kms_helper        253952  4 drm_display_helper,drm_ttm_helper,xe,i915
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
i2c_algo_bit           16384  2 xe,i915
intel_pmc_core        122880  0
intel_vsec             20480  1 intel_pmc_core
pmt_telemetry          16384  1 intel_pmc_core
joydev                 24576  0
pmt_class              16384  1 pmt_telemetry
int3400_thermal        20480  0
acpi_pad              184320  0
acpi_thermal_rel       20480  1 int3400_thermal
button                 24576  0
acpi_tad               20480  0
nft_limit              16384  2
evdev                  28672  4
nft_ct                 28672  31
nft_masq               12288  11
nft_chain_nat          12288  46
nf_nat                 65536  5 nft_nat,xt_nat,nft_masq,nft_chain_nat,xt_MASQUERADE
nf_conntrack          204800  8 xt_conntrack,nf_nat,nft_ct,nft_nat,xt_nat,nf_conntrack_netlink,nft_masq,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
nf_tables             380928  1771 nft_ct,nft_compat,nft_nat,nft_reject_inet,nft_fib_ipv6,nft_fib_ipv4,nft_masq,nft_chain_nat,nft_limit,nft_reject,nft_fib
coretemp               16384  0
nvme_fabrics           36864  0
libcrc32c              12288  3 nf_conntrack,nf_nat,nf_tables
msr                    12288  0
nvme_keyring           16384  1 nvme_fabrics
efi_pstore             12288  0
configfs               69632  1
nfnetlink              20480  7 nft_compat,nf_conntrack_netlink,nf_tables,ip_set
zstd                   12288  0
zram                   49152  1
lz4hc_compress         20480  1 zram
lz4_compress           24576  1 zram
efivarfs               28672  1
ip_tables              28672  0
x_tables               53248  8 xt_conntrack,nft_compat,xt_tcpudp,xt_addrtype,xt_nat,xt_set,ip_tables,xt_MASQUERADE
autofs4                57344  2
